"","date","hour","sessions"
"590",2017-01-25,"13",0
"591",2017-01-25,"14",0
"592",2017-01-25,"15",0
"593",2017-01-25,"16",0
"594",2017-01-25,"17",0
"595",2017-01-25,"18",0
"596",2017-01-25,"19",0
"597",2017-01-25,"20",0
"598",2017-01-25,"21",0
"599",2017-01-25,"22",0
"600",2017-01-25,"23",0
"601",2017-01-26,"00",0
"602",2017-01-26,"01",0
"603",2017-01-26,"02",0
"604",2017-01-26,"03",0
"605",2017-01-26,"04",0
"606",2017-01-26,"05",0
"607",2017-01-26,"06",0
"608",2017-01-26,"07",0
"609",2017-01-26,"08",0
"610",2017-01-26,"09",0
"611",2017-01-26,"10",0
"612",2017-01-26,"11",0
"613",2017-01-26,"12",0
"614",2017-01-26,"13",0
"615",2017-01-26,"14",0
"616",2017-01-26,"15",0
"617",2017-01-26,"16",0
"618",2017-01-26,"17",0
"619",2017-01-26,"18",0
"620",2017-01-26,"19",0
"621",2017-01-26,"20",0
"622",2017-01-26,"21",0
"623",2017-01-26,"22",0
"624",2017-01-26,"23",0
"625",2017-01-27,"00",0
"626",2017-01-27,"01",0
"627",2017-01-27,"02",0
"628",2017-01-27,"03",0
"629",2017-01-27,"04",0
"630",2017-01-27,"05",0
"631",2017-01-27,"06",0
"632",2017-01-27,"07",0
"633",2017-01-27,"08",0
"634",2017-01-27,"09",0
"635",2017-01-27,"10",0
"636",2017-01-27,"11",0
"637",2017-01-27,"12",0
"638",2017-01-27,"13",0
"639",2017-01-27,"14",0
"640",2017-01-27,"15",0
"641",2017-01-27,"16",0
"642",2017-01-27,"17",0
"643",2017-01-27,"18",0
"644",2017-01-27,"19",0
"645",2017-01-27,"20",0
"646",2017-01-27,"21",0
"647",2017-01-27,"22",0
"648",2017-01-27,"23",0
"649",2017-01-28,"00",0
"650",2017-01-28,"01",0
"651",2017-01-28,"02",0
"652",2017-01-28,"03",0
"653",2017-01-28,"04",0
"654",2017-01-28,"05",0
"655",2017-01-28,"06",0
"656",2017-01-28,"07",0
"657",2017-01-28,"08",0
"658",2017-01-28,"09",0
"659",2017-01-28,"10",0
"660",2017-01-28,"11",0
"661",2017-01-28,"12",0
"662",2017-01-28,"13",0
"663",2017-01-28,"14",0
"664",2017-01-28,"15",0
"665",2017-01-28,"16",0
"666",2017-01-28,"17",0
"667",2017-01-28,"18",0
"668",2017-01-28,"19",0
"669",2017-01-28,"20",0
"670",2017-01-28,"21",0
"671",2017-01-28,"22",0
"672",2017-01-28,"23",0
"673",2017-01-29,"00",0
"674",2017-01-29,"01",0
"675",2017-01-29,"02",0
"676",2017-01-29,"03",0
"677",2017-01-29,"04",0
"678",2017-01-29,"05",0
"679",2017-01-29,"06",0
"680",2017-01-29,"07",0
"681",2017-01-29,"08",0
"682",2017-01-29,"09",0
"683",2017-01-29,"10",0
"684",2017-01-29,"11",0
"685",2017-01-29,"12",0
"686",2017-01-29,"13",0
"687",2017-01-29,"14",0
"688",2017-01-29,"15",0
"689",2017-01-29,"16",0
"690",2017-01-29,"17",0
"691",2017-01-29,"18",0
"692",2017-01-29,"19",0
"693",2017-01-29,"20",0
"694",2017-01-29,"21",0
"695",2017-01-29,"22",0
"696",2017-01-29,"23",0
"697",2017-01-30,"00",0
"698",2017-01-30,"01",0
"699",2017-01-30,"02",0
"700",2017-01-30,"03",0
"701",2017-01-30,"04",0
"702",2017-01-30,"05",0
"703",2017-01-30,"06",0
"704",2017-01-30,"07",0
"705",2017-01-30,"08",0
"706",2017-01-30,"09",0
"707",2017-01-30,"10",0
"708",2017-01-30,"11",0
"709",2017-01-30,"12",0
"710",2017-01-30,"13",0
"711",2017-01-30,"14",0
"712",2017-01-30,"15",0
"713",2017-01-30,"16",0
"714",2017-01-30,"17",0
"715",2017-01-30,"18",0
"716",2017-01-30,"19",0
"717",2017-01-30,"20",0
"718",2017-01-30,"21",0
"719",2017-01-30,"22",0
"720",2017-01-30,"23",0
"721",2017-01-31,"00",0
"722",2017-01-31,"01",0
"723",2017-01-31,"02",0
"724",2017-01-31,"03",0
"725",2017-01-31,"04",0
"726",2017-01-31,"05",0
"727",2017-01-31,"06",0
"728",2017-01-31,"07",0
"729",2017-01-31,"08",0
"730",2017-01-31,"09",0
"731",2017-01-31,"10",0
"732",2017-01-31,"11",0
"733",2017-01-31,"12",0
"734",2017-01-31,"13",0
"735",2017-01-31,"14",0
"736",2017-01-31,"15",0
"737",2017-01-31,"16",0
"738",2017-01-31,"17",0
"739",2017-01-31,"18",0
"740",2017-01-31,"19",0
"741",2017-01-31,"20",0
"742",2017-01-31,"21",0
"743",2017-01-31,"22",0
"744",2017-01-31,"23",0
"745",2017-02-01,"00",0
"746",2017-02-01,"01",0
"747",2017-02-01,"02",0
"748",2017-02-01,"03",0
"749",2017-02-01,"04",0
"750",2017-02-01,"05",0
"751",2017-02-01,"06",0
"752",2017-02-01,"07",0
"753",2017-02-01,"08",0
"754",2017-02-01,"09",0
"755",2017-02-01,"10",0
"756",2017-02-01,"11",0
"757",2017-02-01,"12",0
"758",2017-02-01,"13",0
"759",2017-02-01,"14",0
"760",2017-02-01,"15",0
"761",2017-02-01,"16",0
"762",2017-02-01,"17",0
"763",2017-02-01,"18",0
"764",2017-02-01,"19",0
"765",2017-02-01,"20",0
"766",2017-02-01,"21",0
"767",2017-02-01,"22",0
"768",2017-02-01,"23",0
"769",2017-02-02,"00",0
"770",2017-02-02,"01",0
"771",2017-02-02,"02",0
"772",2017-02-02,"03",0
"773",2017-02-02,"04",0
"774",2017-02-02,"05",0
"775",2017-02-02,"06",0
"776",2017-02-02,"07",0
"777",2017-02-02,"08",0
"778",2017-02-02,"09",0
"779",2017-02-02,"10",0
"780",2017-02-02,"11",0
"781",2017-02-02,"12",0
"782",2017-02-02,"13",0
"783",2017-02-02,"14",0
"784",2017-02-02,"15",0
"785",2017-02-02,"16",0
"786",2017-02-02,"17",0
"787",2017-02-02,"18",0
"788",2017-02-02,"19",0
"789",2017-02-02,"20",0
"790",2017-02-02,"21",0
"791",2017-02-02,"22",0
"792",2017-02-02,"23",0
"793",2017-02-03,"00",0
"794",2017-02-03,"01",0
"795",2017-02-03,"02",0
"796",2017-02-03,"03",0
"797",2017-02-03,"04",0
"798",2017-02-03,"05",0
"799",2017-02-03,"06",0
"800",2017-02-03,"07",0
"801",2017-02-03,"08",0
"802",2017-02-03,"09",0
"803",2017-02-03,"10",0
"804",2017-02-03,"11",0
"805",2017-02-03,"12",0
"806",2017-02-03,"13",0
"807",2017-02-03,"14",0
"808",2017-02-03,"15",0
"809",2017-02-03,"16",0
"810",2017-02-03,"17",0
"811",2017-02-03,"18",0
"812",2017-02-03,"19",0
"813",2017-02-03,"20",0
"814",2017-02-03,"21",0
"815",2017-02-03,"22",0
"816",2017-02-03,"23",0
"817",2017-02-04,"00",0
"818",2017-02-04,"01",0
"819",2017-02-04,"02",0
"820",2017-02-04,"03",0
"821",2017-02-04,"04",0
"822",2017-02-04,"05",0
"823",2017-02-04,"06",0
"824",2017-02-04,"07",0
"825",2017-02-04,"08",0
"826",2017-02-04,"09",0
"827",2017-02-04,"10",0
"828",2017-02-04,"11",0
"829",2017-02-04,"12",0
"830",2017-02-04,"13",0
"831",2017-02-04,"14",0
"832",2017-02-04,"15",0
"833",2017-02-04,"16",0
"834",2017-02-04,"17",0
"835",2017-02-04,"18",0
"836",2017-02-04,"19",0
"837",2017-02-04,"20",0
"838",2017-02-04,"21",0
"839",2017-02-04,"22",0
"840",2017-02-04,"23",0
"841",2017-02-05,"00",0
"842",2017-02-05,"01",0
"843",2017-02-05,"02",0
"844",2017-02-05,"03",0
"845",2017-02-05,"04",0
"846",2017-02-05,"05",0
"847",2017-02-05,"06",0
"848",2017-02-05,"07",0
"849",2017-02-05,"08",0
"850",2017-02-05,"09",0
"851",2017-02-05,"10",0
"852",2017-02-05,"11",0
"853",2017-02-05,"12",0
"854",2017-02-05,"13",0
"855",2017-02-05,"14",0
"856",2017-02-05,"15",0
"857",2017-02-05,"16",0
"858",2017-02-05,"17",0
"859",2017-02-05,"18",0
"860",2017-02-05,"19",0
"861",2017-02-05,"20",0
"862",2017-02-05,"21",0
"863",2017-02-05,"22",0
"864",2017-02-05,"23",0
"865",2017-02-06,"00",0
"866",2017-02-06,"01",0
"867",2017-02-06,"02",0
"868",2017-02-06,"03",0
"869",2017-02-06,"04",0
"870",2017-02-06,"05",0
"871",2017-02-06,"06",0
"872",2017-02-06,"07",0
"873",2017-02-06,"08",0
"874",2017-02-06,"09",0
"875",2017-02-06,"10",0
"876",2017-02-06,"11",0
"877",2017-02-06,"12",0
"878",2017-02-06,"13",0
"879",2017-02-06,"14",0
"880",2017-02-06,"15",0
"881",2017-02-06,"16",0
"882",2017-02-06,"17",0
"883",2017-02-06,"18",0
"884",2017-02-06,"19",0
"885",2017-02-06,"20",0
"886",2017-02-06,"21",0
"887",2017-02-06,"22",0
"888",2017-02-06,"23",0
"889",2017-02-07,"00",0
"890",2017-02-07,"01",0
"891",2017-02-07,"02",0
"892",2017-02-07,"03",0
"893",2017-02-07,"04",0
"894",2017-02-07,"05",0
"895",2017-02-07,"06",0
"896",2017-02-07,"07",0
"897",2017-02-07,"08",0
"898",2017-02-07,"09",0
"899",2017-02-07,"10",0
"900",2017-02-07,"11",0
"901",2017-02-07,"12",0
"902",2017-02-07,"13",0
"903",2017-02-07,"14",0
"904",2017-02-07,"15",0
"905",2017-02-07,"16",0
"906",2017-02-07,"17",0
"907",2017-02-07,"18",0
"908",2017-02-07,"19",0
"909",2017-02-07,"20",0
"910",2017-02-07,"21",0
"911",2017-02-07,"22",0
"912",2017-02-07,"23",0
"913",2017-02-08,"00",0
"914",2017-02-08,"01",0
"915",2017-02-08,"02",0
"916",2017-02-08,"03",0
"917",2017-02-08,"04",0
"918",2017-02-08,"05",0
"919",2017-02-08,"06",0
"920",2017-02-08,"07",0
"921",2017-02-08,"08",0
"922",2017-02-08,"09",0
"923",2017-02-08,"10",0
"924",2017-02-08,"11",0
"925",2017-02-08,"12",0
"926",2017-02-08,"13",0
"927",2017-02-08,"14",0
"928",2017-02-08,"15",0
"929",2017-02-08,"16",0
"930",2017-02-08,"17",0
